pemaritl,pesa1,fmstm1900,fmagem,yofm,fbm1900,yofb,fb_girl,fmendm1900,yofd,fmdiv,fmdivsep,fmwid,cpsyear,iid,a_age,a_sex,bdm1900,yob,black,orace,cdiv,coll,hs,a_fnlwgt
MARRIED - SPOUSE PRESENT,4,634,275,52,645,53,1,1146,95,0,0,0,1995,95003728,65,2,359,29,0,0,2,0,1,2416.9282
MARRIED - SPOUSE PRESENT,3,806,244,67,836,69,0,1146,95,0,0,0,1995,95003728,48,2,562,46,0,0,2,0,0,2377.1736
MARRIED - SPOUSE PRESENT,2,629,256,52,669,55,1,1146,95,0,0,0,1995,95003728,64,2,373,31,0,0,2,0,1,2156.113
MARRIED - SPOUSE PRESENT,None,1097,302,91,,,,1146,95,0,0,0,1995,95003736,29,2,795,66,0,0,2,1,0,2267.5603
WIDOWED,2,630,220,52,589,49,0,684,56,1,1,0,1995,95003736,61,2,410,34,1,0,2,0,0,2287.8394
WIDOWED,1,586,203,48,588,48,1,867,72,0,0,1,1995,95003736,63,2,383,31,1,0,2,0,1,2287.8394
DIVORCED,1,811,289,67,791,65,1,1002,83,1,1,0,1995,95003736,52,2,522,43,1,0,2,0,0,2536.4604
DIVORCED,None,845,299,70,,,,1135,94,1,1,0,1995,95003736,50,2,546,45,0,0,2,0,1,2263.3923
DIVORCED,2,812,291,67,881,73,0,962,80,1,1,0,1995,95003736,52,2,521,43,0,0,2,1,0,2263.3923
MARRIED - SPOUSE PRESENT,4,654,261,54,666,55,0,1146,95,0,0,0,1995,95003736,62,2,393,32,0,0,2,0,1,2511.8889
MARRIED - SPOUSE PRESENT,None,788,354,65,,,,1146,95,0,0,0,1995,95003744,59,2,434,36,0,0,2,0,1,2277.7305
MARRIED - SPOUSE PRESENT,2,803,262,66,836,69,0,1146,95,0,0,0,1995,95003744,50,2,541,45,0,0,2,0,1,2263.3923
MARRIED - SPOUSE PRESENT,3,866,257,72,891,74,0,1146,95,0,0,0,1995,95003744,44,2,609,50,0,0,2,0,1,2165.519
MARRIED - SPOUSE PRESENT,None,753,374,62,,,,1146,95,0,0,0,1995,95003744,63,2,379,31,0,0,2,0,0,2729.3535
MARRIED - SPOUSE PRESENT,3,909,304,75,944,78,1,1146,95,0,0,0,1995,95003744,45,2,605,50,0,0,2,0,1,2335.3755
DIVORCED,1,952,267,79,984,81,0,1080,89,1,1,0,1995,95003744,38,2,685,57,0,0,2,0,1,2259.3574
MARRIED - SPOUSE PRESENT,2,848,261,70,974,81,1,1146,95,0,0,0,1995,95003744,46,2,587,48,0,0,2,1,0,2254.8838
MARRIED - SPOUSE PRESENT,2,1002,307,83,1028,85,0,1146,95,0,0,0,1995,95003744,37,2,695,57,0,0,2,1,0,2366.1345
MARRIED - SPOUSE PRESENT,2,799,260,66,814,67,0,1146,95,0,0,0,1995,95003744,50,2,539,44,0,0,2,1,0,2485.7278
MARRIED - SPOUSE PRESENT,3,930,251,77,963,80,1,1146,95,0,0,0,1995,95003752,38,2,679,56,0,0,2,0,1,2366.1345
MARRIED - SPOUSE PRESENT,2,929,328,77,947,78,0,1146,95,0,0,0,1995,95003752,45,2,601,50,0,1,2,0,1,1604.8177
MARRIED - SPOUSE PRESENT,2,897,311,74,965,80,1,1146,95,0,0,0,1995,95003752,46,2,586,48,0,0,2,1,0,2254.8838
MARRIED - SPOUSE PRESENT,3,666,279,55,698,58,1,1146,95,0,0,0,1995,95003752,63,2,387,32,0,0,2,0,1,2527.2161
MARRIED - SPOUSE PRESENT,3,608,214,50,630,52,0,1146,95,0,0,0,1995,95003752,62,2,394,32,0,0,2,0,1,2380.0623
MARRIED - SPOUSE PRESENT,2,1015,290,84,1053,87,0,1146,95,0,0,0,1995,95003752,35,2,725,60,0,0,2,1,0,2366.1345
MARRIED - SPOUSE PRESENT,4,849,242,70,869,72,0,1146,95,0,0,0,1995,95003752,44,2,607,50,0,0,2,0,1,2011.1351
MARRIED - SPOUSE PRESENT,2,880,321,73,935,77,1,1146,95,0,0,0,1995,95003760,48,2,559,46,0,0,2,0,1,2053.3564
MARRIED - SPOUSE PRESENT,4,850,241,70,870,72,0,1146,95,0,0,0,1995,95003760,44,2,609,50,0,0,2,1,0,2011.1351
MARRIED - SPOUSE PRESENT,3,661,207,55,683,56,1,1146,95,0,0,0,1995,95003760,57,2,454,37,0,0,2,0,1,1946.6622
MARRIED - SPOUSE PRESENT,2,842,347,70,897,74,0,1146,95,0,0,0,1995,95003760,54,2,495,41,0,0,2,1,0,2304.6709
MARRIED - SPOUSE PRESENT,2,682,296,56,674,56,1,1146,95,0,0,0,1995,95003760,63,2,386,32,0,0,2,0,1,1820.2683
MARRIED - SPOUSE PRESENT,2,989,324,82,1051,87,1,1146,95,0,0,0,1995,95003760,40,2,665,55,0,0,2,1,0,2011.1351
MARRIED - SPOUSE PRESENT,2,960,354,79,961,80,1,1146,95,0,0,0,1995,95003760,44,2,606,50,0,0,2,0,1,2011.1351
DIVORCED,1,744,273,61,783,65,0,893,74,1,1,0,1995,95003760,56,2,471,39,0,0,2,0,1,1946.6622
SEPARATED,2,1020,304,84,1057,88,1,1146,95,0,1,0,1995,95003760,35,2,716,59,0,0,2,1,0,2075.9751
MARRIED - SPOUSE PRESENT,4,693,278,57,736,61,1,1146,95,0,0,0,1995,95003768,60,2,415,34,0,0,2,1,0,2026.0667
MARRIED - SPOUSE PRESENT,5,601,223,50,646,53,0,1146,95,0,0,0,1995,95003768,64,2,378,31,0,0,2,0,1,1820.2683
WIDOWED,2,661,298,55,680,56,1,1024,85,0,0,1,1995,95003768,65,2,363,30,0,0,2,0,1,1822.9282
MARRIED - SPOUSE PRESENT,5,760,354,63,772,64,0,1146,95,0,0,0,1995,95003768,61,2,406,33,0,0,2,0,1,2026.0667
SEPARATED,1,1001,326,83,1057,88,1,1146,95,0,1,0,1995,95003768,39,2,675,56,0,0,2,1,0,2075.9751
MARRIED - SPOUSE PRESENT,2,703,340,58,732,60,0,1146,95,0,0,0,1995,95003768,65,2,363,30,0,0,2,1,0,1822.9282
MARRIED - SPOUSE PRESENT,2,700,340,58,729,60,1,1146,95,0,0,0,1995,95003768,65,2,360,29,0,0,2,1,0,1822.9282
MARRIED - SPOUSE PRESENT,2,678,299,56,699,58,1,1146,95,0,0,0,1995,95003776,63,2,379,31,0,0,2,0,1,1820.2683
MARRIED - SPOUSE PRESENT,None,838,240,69,,,,1146,95,0,0,0,1995,95003776,45,2,598,49,0,0,2,1,0,2053.3564
MARRIED - SPOUSE PRESENT,2,1050,363,87,1081,90,1,1146,95,0,0,0,1995,95003776,38,2,687,57,0,0,2,0,1,2075.9751
MARRIED - SPOUSE PRESENT,2,769,296,64,895,74,0,1146,95,0,0,0,1995,95003776,56,2,473,39,0,0,2,0,1,1946.6622
MARRIED - SPOUSE PRESENT,None,1134,332,94,,,,1146,95,0,0,0,1995,95003776,28,2,802,66,0,0,2,0,1,2263.9709
MARRIED - SPOUSE PRESENT,2,846,249,70,853,71,1,1146,95,0,0,0,1995,95003776,45,2,597,49,0,0,2,1,0,2086.8352
MARRIED - SPOUSE PRESENT,3,858,257,71,890,74,0,1146,95,0,0,0,1995,95003776,45,2,601,50,0,0,2,0,1,2086.8352
MARRIED - SPOUSE PRESENT,1,831,272,69,1047,87,0,971,80,1,1,0,1995,95003776,48,2,559,46,0,0,2,1,0,2086.8352
MARRIED - SPOUSE PRESENT,8,726,333,60,739,61,1,1146,95,0,0,0,1995,95003776,62,2,393,32,0,0,2,0,1,2079.8352
MARRIED - SPOUSE PRESENT,2,1073,320,89,1078,89,1,1146,95,0,0,0,1995,95003784,32,2,753,62,0,0,2,0,1,2275.2043
MARRIED - SPOUSE PRESENT,1,776,242,64,969,80,0,1146,95,0,0,0,1995,95003784,51,2,534,44,0,0,2,0,1,1979.1979
MARRIED - SPOUSE PRESENT,5,730,242,60,737,61,1,1146,95,0,0,0,1995,95003784,54,2,488,40,0,0,2,0,1,1979.1979
MARRIED - SPOUSE PRESENT,4,646,235,53,692,57,0,1146,95,0,0,0,1995,95003784,61,2,411,34,0,0,2,0,1,2079.8352
MARRIED - SPOUSE PRESENT,None,1124,343,93,,,,1146,95,0,0,0,1995,95003784,30,2,781,65,0,0,2,1,0,2275.2043
MARRIED - SPOUSE PRESENT,2,802,250,66,816,67,1,1146,95,0,0,0,1995,95003784,49,2,552,45,0,0,2,0,1,2086.8352
MARRIED - SPOUSE PRESENT,1,825,279,68,894,74,0,1146,95,0,0,0,1995,95003784,50,2,546,45,0,0,2,0,1,1979.1979
MARRIED - SPOUSE PRESENT,2,1072,274,89,1108,92,0,1146,95,0,0,0,1995,95003792,28,2,798,66,0,0,2,0,1,2263.9709
MARRIED - SPOUSE PRESENT,1,861,263,71,875,72,1,1146,95,0,0,0,1995,95003792,45,2,598,49,0,0,2,0,0,2086.8352
WIDOWED,4,796,255,66,754,62,0,1057,88,0,0,1,1995,95003792,50,2,541,45,0,0,2,0,1,1979.1979
MARRIED - SPOUSE PRESENT,4,813,290,67,849,70,1,1146,95,0,0,0,1995,95003792,51,2,523,43,0,0,2,0,1,1979.1979
MARRIED - SPOUSE PRESENT,2,919,259,76,970,80,1,1146,95,0,0,0,1995,95003792,40,2,660,54,0,0,2,0,1,2098.8416
MARRIED - SPOUSE PRESENT,3,789,298,65,798,66,1,1146,95,0,0,0,1995,95003792,54,2,491,40,0,0,2,1,0,1979.1979
MARRIED - SPOUSE PRESENT,2,924,255,76,944,78,0,1146,95,0,0,0,1995,95003792,39,2,669,55,0,0,2,0,0,2634.1897
MARRIED - SPOUSE PRESENT,2,1123,236,93,1092,90,1,1146,95,0,0,0,1995,95003792,21,2,887,73,0,0,2,0,1,2851.7852
MARRIED - SPOUSE PRESENT,1,997,339,83,1128,93,1,1008,83,1,1,0,1995,95003792,40,2,658,54,0,0,2,0,1,2371.1563
DIVORCED,3,816,232,67,825,68,0,901,75,1,1,0,1995,95003800,46,2,584,48,0,0,2,0,1,2633.502
MARRIED - SPOUSE PRESENT,2,1102,315,91,1002,83,1,1146,95,0,0,0,1995,95003800,29,2,787,65,0,0,2,0,0,2899.1836
MARRIED - SPOUSE PRESENT,4,897,230,74,908,75,1,1003,83,1,1,0,1995,95003800,39,2,667,55,0,0,2,0,1,2390.0227
MARRIED - SPOUSE PRESENT,1,744,229,61,987,82,1,870,72,1,1,0,1995,95003800,52,2,515,42,0,0,2,0,0,2532.906
MARRIED - SPOUSE PRESENT,2,882,235,73,979,81,1,893,74,1,1,0,1995,95003800,41,2,647,53,0,0,2,1,0,2371.1563
MARRIED - SPOUSE PRESENT,3,881,290,73,898,74,0,1146,95,0,0,0,1995,95003800,46,2,591,49,0,0,2,1,0,2633.502
MARRIED - SPOUSE PRESENT,3,828,318,68,883,73,0,1146,95,0,0,0,1995,95003800,52,2,510,42,0,0,2,0,1,2532.906
MARRIED - SPOUSE PRESENT,3,881,241,73,969,80,1,1146,95,0,0,0,1995,95003808,42,2,640,53,0,0,2,0,1,2866.1909
MARRIED - SPOUSE PRESENT,4,1103,309,91,1109,92,1,1146,95,0,0,0,1995,95003808,29,2,794,66,1,0,2,0,1,3139.5474
MARRIED - SPOUSE PRESENT,4,788,254,65,841,70,1,1146,95,0,0,0,1995,95003808,51,2,534,44,1,0,2,1,0,1765.4517
MARRIED - SPOUSE PRESENT,4,670,230,55,716,59,0,1146,95,0,0,0,1995,95003808,58,2,440,36,0,0,2,1,0,2478.1604
MARRIED - SPOUSE PRESENT,None,1041,333,86,,,,1146,95,0,0,0,1995,95003808,36,2,708,58,0,0,2,1,0,2390.0227
MARRIED - SPOUSE PRESENT,4,695,225,57,741,61,1,1146,95,0,0,0,1995,95003808,56,2,470,39,0,0,2,0,0,2478.1604
MARRIED - SPOUSE PRESENT,2,945,263,78,997,83,1,1146,95,0,0,0,1995,95003808,38,2,682,56,0,0,2,0,1,2083.3418
MARRIED - SPOUSE PRESENT,2,977,266,81,1004,83,0,1146,95,0,0,0,1995,95003808,36,2,711,59,0,0,2,0,1,2083.3418
MARRIED - SPOUSE PRESENT,2,979,263,81,999,83,0,1146,95,0,0,0,1995,95003808,35,2,716,59,0,0,2,0,1,2083.3418
WIDOWED,2,796,248,66,808,67,0,874,72,0,0,1,1995,95003816,49,2,548,45,0,0,2,0,0,2044.6964
MARRIED - SPOUSE PRESENT,3,1062,286,88,1085,90,1,1146,95,0,0,0,1995,95003816,30,2,776,64,0,0,2,1,0,2072.8682
MARRIED - SPOUSE PRESENT,4,653,233,54,699,58,1,1146,95,0,0,0,1995,95003816,60,2,420,34,0,0,2,0,1,2273.5623
MARRIED - SPOUSE PRESENT,1,849,364,70,861,71,1,1146,95,0,0,0,1995,95003816,55,2,485,40,0,0,2,0,1,2414.092
MARRIED - SPOUSE PRESENT,2,768,260,63,726,60,1,1146,95,0,0,0,1995,95003816,53,2,508,42,0,0,2,0,1,2003.8567
MARRIED - SPOUSE PRESENT,2,774,418,64,602,50,0,1146,95,0,0,0,1995,95003816,65,2,356,29,0,0,2,0,1,2008.1863
MARRIED - SPOUSE PRESENT,2,931,296,77,889,74,1,1146,95,0,0,0,1995,95003816,42,2,635,52,0,0,2,0,0,2206.2583
MARRIED - SPOUSE PRESENT,1,950,283,79,1084,90,0,1146,95,0,0,0,1995,95003824,39,2,667,55,0,0,2,0,1,2083.3418
MARRIED - SPOUSE PRESENT,2,843,367,70,671,55,0,1146,95,0,0,0,1995,95003824,55,2,476,39,0,0,2,0,1,2414.092
MARRIED - SPOUSE PRESENT,3,825,289,68,884,73,1,1146,95,0,0,0,1995,95003824,50,2,536,44,0,0,2,1,0,2003.8567
MARRIED - SPOUSE PRESENT,2,799,260,66,829,69,0,1146,95,0,0,0,1995,95003824,50,2,539,44,0,0,2,1,0,2003.8567
MARRIED - SPOUSE PRESENT,2,818,386,68,646,53,1,1146,95,0,0,0,1995,95003824,59,2,432,35,0,0,2,1,0,2414.092
MARRIED - SPOUSE PRESENT,3,616,240,51,669,55,1,1146,95,0,0,0,1995,95003824,64,2,376,31,0,0,2,1,0,2070.054
MARRIED - SPOUSE PRESENT,1,924,301,76,824,68,0,1146,95,0,0,0,1995,95003824,43,2,623,51,0,0,2,0,1,2206.2583
MARRIED - SPOUSE PRESENT,3,609,252,50,619,51,0,1146,95,0,0,0,1995,95003824,65,2,357,29,0,0,2,0,1,2008.1863
MARRIED - SPOUSE PRESENT,2,791,365,65,805,67,0,1146,95,0,0,0,1995,95003824,60,2,426,35,0,0,2,1,0,2273.5623
MARRIED - SPOUSE PRESENT,2,1082,387,90,1099,91,1,1146,95,0,0,0,1995,95003832,37,2,695,57,0,0,2,0,1,2083.3418
MARRIED - SPOUSE PRESENT,2,989,225,82,995,82,0,1146,95,0,0,0,1995,95003832,31,2,764,63,0,0,2,0,1,2489.8696
MARRIED - SPOUSE PRESENT,2,747,391,62,575,47,1,1146,95,0,0,0,1995,95003832,65,2,356,29,0,0,2,0,1,2008.1863
MARRIED - SPOUSE PRESENT,2,1003,278,83,1012,84,0,1146,95,0,0,0,1995,95003832,35,2,725,60,0,0,2,0,1,2083.3418
MARRIED - SPOUSE PRESENT,1,766,202,63,775,64,0,846,70,1,1,0,1995,95003832,48,2,564,46,0,0,2,0,1,2577.7893
MARRIED - SPOUSE PRESENT,2,965,237,80,970,80,1,1146,95,0,0,0,1995,95003832,34,2,728,60,0,0,2,1,0,2404.4087
MARRIED - SPOUSE PRESENT,3,1025,283,85,1044,86,0,1146,95,0,0,0,1995,95003832,33,2,742,61,0,0,2,0,1,2404.4087
MARRIED - SPOUSE PRESENT,None,1119,316,93,,,,1146,95,0,0,0,1995,95003840,28,2,803,66,0,0,2,0,1,2231.7534
WIDOWED,2,659,288,54,680,56,0,767,63,0,0,1,1995,95003840,64,2,371,30,0,0,2,1,0,2382.6472
MARRIED - SPOUSE PRESENT,4,816,254,67,871,72,1,1146,95,0,0,0,1995,95003840,48,2,562,46,0,0,2,0,0,2577.7893
MARRIED - SPOUSE PRESENT,None,1117,416,93,,,,1146,95,0,0,0,1995,95003840,37,2,701,58,0,0,2,1,0,1354.6267
MARRIED - SPOUSE PRESENT,1,1112,330,92,1140,94,1,1146,95,0,0,0,1995,95003840,30,2,782,65,0,0,2,1,0,1518.5739
MARRIED - SPOUSE PRESENT,None,1031,338,85,,,,1146,95,0,0,0,1995,95003840,37,2,693,57,0,1,2,0,1,873.55609
DIVORCED,1,589,182,49,604,50,0,909,75,1,1,0,1995,95003840,61,2,407,33,0,0,2,0,0,1382.3591
WIDOWED,None,630,244,52,,,,744,61,0,0,1,1995,95003840,63,2,386,32,1,0,2,0,1,1271.1798
DIVORCED,3,693,206,57,714,59,0,865,72,1,1,0,1995,95003840,54,2,487,40,1,0,2,0,0,1352.1656
MARRIED - SPOUSE PRESENT,None,851,277,70,,,,1146,95,0,0,0,1995,95003848,47,2,574,47,1,0,2,0,0,1754.9659
DIVORCED,1,775,240,64,785,65,0,979,81,1,1,0,1995,95003848,50,2,535,44,1,0,2,0,1,1352.1656
SEPARATED,4,897,204,74,918,76,1,1146,95,0,1,0,1995,95003848,37,2,693,57,0,0,2,0,0,1451.7253
WIDOWED,5,675,267,56,696,57,0,1134,94,0,0,1,1995,95003848,61,2,408,33,0,0,2,0,1,1382.3591
WIDOWED,3,665,259,55,683,56,1,1136,94,0,0,1,1995,95003848,61,2,406,33,0,0,2,0,1,1382.3591
MARRIED - SPOUSE PRESENT,None,846,240,70,,,,941,78,1,1,0,1995,95003848,44,2,606,50,0,0,2,1,0,1494.5269
MARRIED - SPOUSE PRESENT,5,817,207,68,832,69,1,1146,95,0,0,0,1995,95003848,44,2,610,50,0,0,2,0,0,1601.6527
MARRIED - SPOUSE PRESENT,1,1113,286,92,1136,94,0,1146,95,0,0,0,1995,95003856,26,2,827,68,0,0,2,1,0,1535.0786
MARRIED - SPOUSE PRESENT,4,829,204,69,895,74,0,1146,95,0,0,0,1995,95003856,43,2,625,52,0,0,2,0,1,1601.6527
MARRIED - SPOUSE PRESENT,7,971,518,80,743,61,1,1146,95,0,0,0,1995,95003856,57,2,453,37,0,0,2,0,0,1476.3768
MARRIED - SPOUSE PRESENT,2,686,244,57,710,59,1,1146,95,0,0,0,1995,95003856,58,2,442,36,0,0,2,1,0,1332.0695
MARRIED - SPOUSE PRESENT,None,963,439,80,,,,1146,95,0,0,0,1995,95003856,51,2,524,43,0,0,2,1,0,1399.0671
DIVORCED,4,953,266,79,962,80,1,1080,89,1,1,0,1995,95003856,38,2,687,57,0,0,2,1,0,1354.6267
MARRIED - SPOUSE PRESENT,1,698,259,58,780,64,1,825,68,1,1,0,1995,95003856,58,2,439,36,0,0,2,1,0,1332.0695
MARRIED - SPOUSE PRESENT,4,989,395,82,845,70,0,1146,95,0,0,0,1995,95003856,45,2,594,49,0,0,2,0,1,1436.6617
MARRIED - SPOUSE PRESENT,None,1126,343,93,,,,1146,95,0,0,0,1995,95003856,30,2,783,65,0,0,2,1,0,1518.5739
MARRIED - SPOUSE PRESENT,None,1135,283,94,,,,1146,95,0,0,0,1995,95003864,24,2,852,70,0,0,2,1,0,1411.468
MARRIED - SPOUSE PRESENT,2,807,276,67,817,68,1,1146,95,0,0,0,1995,95003864,51,2,531,44,0,1,2,0,1,684.8584
DIVORCED,2,817,253,68,847,70,1,1009,84,1,1,0,1995,95003864,48,2,564,46,0,0,2,0,0,1618.7433
SEPARATED,1,979,258,81,1054,87,0,1146,95,0,1,0,1995,95003864,35,2,721,60,0,0,2,1,0,1365.4587
MARRIED - SPOUSE PRESENT,None,646,252,53,,,,1146,95,0,0,0,1995,95003864,62,2,394,32,1,0,2,0,1,1382.6719
DIVORCED,None,754,267,62,,,,853,71,1,1,0,1995,95003864,54,2,487,40,1,0,2,0,1,1532.9279
MARRIED - SPOUSE PRESENT,1,1129,313,94,1076,89,1,1146,95,0,0,0,1995,95003864,27,2,816,67,0,0,2,0,1,1644.6984
SEPARATED,2,912,303,75,828,68,0,1146,95,0,1,0,1995,95003872,44,2,609,50,0,0,2,0,0,1501.0098
MARRIED - SPOUSE PRESENT,3,1018,209,84,1026,85,0,1146,95,0,0,0,1995,95003872,28,2,809,67,0,1,2,0,0,764.79272
MARRIED - SPOUSE PRESENT,1,952,207,79,1108,92,0,1023,85,1,1,0,1995,95003872,33,2,745,62,0,1,2,0,0,785.4671
MARRIED - SPOUSE PRESENT,2,886,230,73,1084,90,0,981,81,1,1,0,1995,95003872,40,2,656,54,0,1,2,0,1,684.8584
MARRIED - SPOUSE PRESENT,None,1033,291,86,,,,1052,87,1,1,0,1995,95003872,33,2,742,61,0,1,2,1,0,684.8584
MARRIED - SPOUSE PRESENT,2,888,229,73,899,74,0,982,81,1,1,0,1995,95003872,40,2,659,54,0,1,2,0,1,684.8584
MARRIED - SPOUSE PRESENT,None,1071,272,89,,,,1146,95,0,0,0,1995,95003872,28,2,799,66,0,0,2,0,0,1472.797
MARRIED - SPOUSE PRESENT,3,984,206,81,1030,85,1,1146,95,0,0,0,1995,95003872,30,2,778,64,0,0,2,0,1,1401.5029
DIVORCED,None,990,249,82,,,,1117,93,1,1,0,1995,95003872,33,2,741,61,0,0,2,1,0,1401.5029
MARRIED - SPOUSE PRESENT,None,886,230,73,,,,981,81,1,1,0,1995,95003880,40,2,656,54,0,0,2,1,0,1308.7467
MARRIED - SPOUSE PRESENT,None,1137,430,94,,,,1146,95,0,0,0,1995,95003880,36,2,707,58,0,0,2,1,0,1365.4587
DIVORCED,2,734,218,61,721,60,0,817,68,0,0,1,1995,95003880,52,2,516,42,0,0,2,0,1,1367.8972
DIVORCED,1,678,202,56,693,57,1,743,61,0,0,1,1995,95003880,55,2,476,39,0,0,2,0,1,1376.5625
WIDOWED,1,685,253,57,767,63,0,1136,94,0,0,1,1995,95003880,59,2,432,35,0,0,2,0,1,1376.5625
MARRIED - SPOUSE PRESENT,1,700,240,58,782,65,1,1146,95,0,0,0,1995,95003880,57,2,460,38,0,0,2,1,0,1376.5625
MARRIED - SPOUSE PRESENT,None,1135,471,94,,,,1146,95,0,0,0,1995,95003880,40,2,664,55,0,0,2,1,0,1308.7467
MARRIED - SPOUSE PRESENT,2,830,266,69,932,77,0,1146,95,0,0,0,1995,95003888,48,2,564,46,0,0,2,1,0,1411.4006
MARRIED - SPOUSE PRESENT,None,1137,421,94,,,,1146,95,0,0,0,1995,95003888,35,2,716,59,0,0,2,1,0,1365.4587
MARRIED - SPOUSE PRESENT,1,1129,296,94,1145,95,0,1146,95,0,0,0,1995,95003888,26,2,833,69,0,0,2,1,0,1360.55
MARRIED - SPOUSE PRESENT,1,1066,395,88,1131,94,0,1146,95,0,0,0,1995,95003888,39,2,671,55,0,0,2,1,0,1365.4587
MARRIED - SPOUSE PRESENT,1,1079,354,89,1119,93,0,1146,95,0,0,0,1995,95003888,35,2,725,60,0,0,2,1,0,1365.4587
MARRIED - SPOUSE PRESENT,2,862,393,71,884,73,0,1146,95,0,0,0,1995,95003888,56,2,469,39,0,1,2,0,1,684.8584
DIVORCED,None,1026,356,85,,,,1112,92,1,1,0,1995,95003888,39,2,670,55,0,0,2,1,0,1365.4587
DIVORCED,None,922,271,76,,,,1082,90,1,1,0,1995,95003888,41,2,651,54,0,0,2,1,0,1308.7467
MARRIED - SPOUSE PRESENT,1,1059,407,88,1105,92,0,1146,95,0,0,0,1995,95003888,41,2,652,54,0,0,2,1,0,1308.7467
DIVORCED,1,879,271,73,887,73,1,970,80,1,1,0,1995,95003896,44,2,608,50,0,0,2,0,0,1533.903
DIVORCED,None,821,245,68,,,,902,75,1,1,0,1995,95003896,47,2,576,47,1,0,2,0,1,1760.6123
MARRIED - SPOUSE PRESENT,None,1070,511,89,,,,1146,95,0,0,0,1995,95003896,48,2,559,46,0,0,2,0,0,1534.0903
MARRIED - SPOUSE PRESENT,None,1072,500,89,,,,1146,95,0,0,0,1995,95003896,47,2,572,47,0,0,2,1,0,1362.755
MARRIED - SPOUSE PRESENT,1,1062,395,88,871,72,1,1146,95,0,0,0,1995,95003896,39,2,667,55,0,1,2,0,1,914.53003
MARRIED - SPOUSE PRESENT,None,1135,277,94,,,,1146,95,0,0,0,1995,95003896,24,2,858,71,0,1,2,0,0,914.53003
MARRIED - SPOUSE ABSENT,2,825,424,68,597,49,0,1146,95,0,0,0,1995,95003896,62,2,401,33,0,1,2,0,0,969.88287
SEPARATED,2,1094,454,91,1007,83,0,1146,95,0,1,0,1995,95003904,42,2,640,53,0,0,2,0,1,1533.903
WIDOWED,1,891,247,74,1030,85,1,1124,93,0,0,1,1995,95003904,41,2,644,53,0,0,2,0,0,1533.903
WIDOWED,6,628,267,52,661,55,0,1135,94,0,0,1,1995,95003904,65,2,361,30,0,0,2,0,0,2113.7229
MARRIED - SPOUSE ABSENT,None,1122,391,93,,,,1146,95,0,0,0,1995,95003904,34,2,731,60,0,0,2,0,1,1595.7478
MARRIED - SPOUSE PRESENT,None,1117,567,93,,,,1146,95,0,0,0,1995,95003904,49,2,550,45,0,0,2,0,0,1534.0903
MARRIED - SPOUSE PRESENT,6,841,411,70,613,51,1,1146,95,0,0,0,1995,95003904,59,2,430,35,0,0,2,1,0,1319.7952
MARRIED - SPOUSE PRESENT,3,797,300,66,818,68,1,1146,95,0,0,0,1995,95003904,54,2,497,41,0,1,2,1,0,969.88287
MARRIED - SPOUSE PRESENT,None,1137,329,94,,,,1146,95,0,0,0,1995,95003904,28,2,808,67,0,0,2,1,0,1279.2618
MARRIED - SPOUSE PRESENT,1,1084,425,90,1103,91,0,1146,95,0,0,0,1995,95003904,40,2,659,54,0,0,2,1,0,1362.59
MARRIED - SPOUSE PRESENT,3,841,280,70,851,70,0,1146,95,0,0,0,1995,95003912,48,2,561,46,0,0,2,1,0,1362.755
MARRIED - SPOUSE PRESENT,2,684,232,56,715,59,0,875,72,1,1,0,1995,95003912,57,2,452,37,0,0,2,1,0,1319.7952
MARRIED - SPOUSE PRESENT,None,789,291,65,,,,1146,95,0,0,0,1995,95003912,53,2,498,41,0,1,2,1,0,969.88287
MARRIED - SPOUSE PRESENT,1,1053,379,87,1114,92,0,1146,95,0,0,0,1995,95003912,39,2,674,56,0,0,2,1,0,1429.9902
WIDOWED,1,614,228,51,636,52,0,670,55,1,1,0,1995,95003912,63,2,386,32,0,0,2,0,1,1527.3409
MARRIED - SPOUSE PRESENT,None,1065,329,88,,,,1146,95,0,0,0,1995,95003912,34,2,736,61,0,0,2,1,0,1417.5273
MARRIED - SPOUSE PRESENT,None,1077,300,89,,,,1146,95,0,0,0,1995,95003912,30,2,777,64,0,1,2,0,1,914.53003
MARRIED - SPOUSE ABSENT,None,797,288,66,,,,1146,95,0,0,0,1995,95003920,53,2,509,42,0,1,2,0,0,969.88287
MARRIED - SPOUSE PRESENT,2,1060,403,88,1086,90,0,1146,95,0,0,0,1995,95003920,40,2,657,54,0,0,2,1,0,1362.59
MARRIED - SPOUSE PRESENT,None,1055,574,87,,,,1146,95,0,0,0,1995,95003920,55,2,481,40,0,0,2,1,0,1319.7952
MARRIED - SPOUSE PRESENT,2,875,237,72,933,77,1,1146,95,0,0,0,1995,95003920,42,2,638,53,0,0,2,1,0,1362.59
MARRIED - SPOUSE PRESENT,2,896,284,74,1058,88,1,1146,95,0,0,0,1995,95003920,44,2,612,50,0,0,2,1,0,1362.59
MARRIED - SPOUSE PRESENT,2,978,326,81,1029,85,0,1146,95,0,0,0,1995,95003920,41,2,652,54,0,0,2,1,0,1362.59
MARRIED - SPOUSE PRESENT,None,733,316,61,,,,1146,95,0,0,0,1995,95003920,60,2,417,34,0,0,2,1,0,1438.4075
MARRIED - SPOUSE PRESENT,1,827,256,68,969,80,0,906,75,1,1,0,1995,95003920,47,2,571,47,0,0,2,1,0,1362.755
