a_age,a_maritl,a_sex,a_fnlwgt,fmstm1900,fmagem,yofm,fbm1900,yofb,fb_girl,fmendm1900,yofd,fmdiv,fmdivsep,fmwid,pesa1,cpsyear,iid,bdm1900,yob,black,orace,cdiv,coll,hs
59,1,2,251778,601,230,50,608,50,0,964,80,1,1,0,6,1990,90020064,371,30,0,0,3,0,1
27,5,2,276106,1004,245,83,,,,1076,89,1,1,0,0,1990,90020064,759,63,0,0,3,0,1
58,1,2,241215,609,230,50,618,51,0,1086,90,0,0,0,4,1990,90020064,379,31,0,0,3,0,0
55,4,2,332484,642,224,53,702,58,1,905,75,1,1,0,1,1990,90020072,418,34,0,0,3,0,1
43,1,2,251964,781,222,65,804,66,0,895,74,1,1,0,2,1990,90020072,559,46,0,0,3,0,1
25,1,2,266358,1052,268,87,1059,88,0,1086,90,0,0,0,1,1990,90020072,784,65,0,0,3,0,1
48,5,2,209446,715,214,59,697,58,0,742,61,1,1,0,4,1990,90020072,501,41,0,0,3,0,1
58,1,2,226313,613,224,51,630,52,0,1086,90,0,0,0,2,1990,90020072,389,32,0,0,3,0,1
44,1,2,273893,769,223,64,999,83,0,909,75,1,1,0,1,1990,90020072,546,45,0,0,3,0,1
64,1,2,315960,596,280,49,608,50,0,1086,90,0,0,0,1,1990,90020072,316,26,0,0,3,0,1
58,1,2,251733,605,223,50,718,59,0,1086,90,0,0,0,2,1990,90020080,382,31,0,0,3,0,1
36,5,2,214289,1040,390,86,,,,1077,89,1,1,0,0,1990,90020080,650,54,0,0,3,1,0
57,1,2,241215,726,325,60,750,62,0,1086,90,0,0,0,4,1990,90020080,401,33,0,0,3,0,0
30,1,2,220243,998,278,83,1035,86,1,1086,90,0,0,0,1,1990,90020080,720,59,0,0,3,0,1
30,1,2,336999,993,272,82,1074,89,1,1086,90,0,0,0,1,1990,90020080,721,60,0,0,3,1,0
43,6,2,317987,798,231,66,807,67,0,1086,90,0,1,0,1,1990,90020080,567,47,1,0,3,0,1
63,1,2,210994,573,244,47,583,48,0,1086,90,0,0,0,2,1990,90020080,329,27,0,0,3,0,1
34,1,2,220243,868,199,72,874,72,1,893,74,1,1,0,3,1990,90020080,669,55,0,0,3,0,1
36,5,2,363712,877,235,73,,,,941,78,1,1,0,0,1990,90020080,642,53,0,0,3,0,1
35,1,2,340037,952,297,79,962,80,1,1086,90,0,0,0,4,1990,90020088,655,54,1,0,3,0,1
50,1,2,267407,718,235,59,749,62,0,1086,90,0,0,0,2,1990,90020088,483,40,0,0,3,0,1
29,1,2,264523,993,263,82,1040,86,0,1086,90,0,0,0,2,1990,90020088,730,60,0,0,3,0,1
58,1,2,241215,629,242,52,729,60,0,1086,90,0,0,0,3,1990,90020088,387,32,0,0,3,0,0
