year,f180,f182,f183,f427,f432,p011,v124,v129,v151,b013,b014,b135,b114,age_m,age_w,edu_m,edu_w,gen_m,gen_w,mom,DGH012,PUB,DPUB,NSIB018H,NSIB018DH
2011,entirely satisfied,occasionally,occasionally,fairly agree,"not good, not poor",8,neither agree nor disagree,disagree,disagree,,,,,25,27,2,2,3,1,0,1,0,0,0,0
2012,entirely satisfied,occasionally,occasionally,,very good,7,agree,fully disagree,neither agree nor disagree,32,0,,,26,28,2,2,3,1,1,1,0,0,0,0
2013,9,occasionally,occasionally,fairly agree,good,,,,,,,,,27,29,2,2,3,1,1,1,0,0,1,0
2014,9,occasionally,practically never,,good,,,,,,,,,28,30,2,2,3,1,0,1,0,0,1,0
2014,8,occasionally,occasionally,,"not good, not poor",,,,,,,,,28,30,2,2,3,1,1,1,0,0,1,0
2015,entirely satisfied,occasionally,occasionally,,good,,,,,32,0,,,38,25,2,1,4,4,0,0,0,0,0,0
2008,8,occasionally,occasionally,,,7,neither agree nor disagree,agree,agree,,,,,37,38,2,2,1,1,0,0,0,0,0,0
2008,9,practically never,practically never,,,8,agree,agree,neither agree nor disagree,,,,,37,38,2,2,1,1,1,0,0,0,0,0
2009,8,occasionally,practically never,slightly agree,,7,fully disagree,agree,neither agree nor disagree,3,30,,,38,39,2,2,1,1,0,0,1,0,0,0
2009,9,practically never,practically never,agree entirely,,9,agree,agree,disagree,1,,,150,38,39,2,2,1,1,1,0,1,0,0,0
2010,8,occasionally,practically never,,,8,neither agree nor disagree,agree,agree,5,0,,,39,40,2,2,1,1,0,0,1,0,0,0
2010,9,practically never,practically never,,,8,agree,agree,disagree,4,0,,100,39,40,2,2,1,1,1,0,1,0,0,0
2011,7,occasionally,practically never,slightly disagree,"not good, not poor",7,neither agree nor disagree,agree,agree,,,,,40,41,2,2,1,1,0,0,1,0,0,0
2011,8,practically never,practically never,fairly agree,good,7,neither agree nor disagree,agree,disagree,,,,,40,41,2,2,1,1,1,0,1,0,0,0
2012,8,occasionally,practically never,,good,7,disagree,fully agree,agree,4,0,,,41,42,2,2,1,1,0,0,1,0,0,0
2012,8,practically never,occasionally,,good,7,agree,agree,disagree,2,0,,,41,42,2,2,1,1,1,0,1,0,0,0
2013,7,occasionally,occasionally,slightly disagree,good,7,neither agree nor disagree,agree,agree,,,,,42,43,2,2,1,1,0,0,1,0,0,0
2013,9,practically never,occasionally,fairly agree,good,8,agree,agree,disagree,,,,,42,43,2,2,1,1,1,0,1,0,0,0
2014,8,occasionally,occasionally,,good,7,disagree,agree,neither agree nor disagree,,,,,43,44,2,2,1,1,0,0,1,0,0,0
2014,9,practically never,occasionally,,good,8,neither agree nor disagree,agree,disagree,,,,,43,44,2,2,1,1,1,0,1,0,0,0
2014,8,practically never,practically never,,good,8,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,,,,,31,31,1,2,4,4,1,1,0,0,1,0
2010,entirely satisfied,occasionally,occasionally,,,7,neither agree nor disagree,neither agree nor disagree,agree,12,0,,,30,30,1,1,1,1,0,0,0,0,1,1
2010,entirely satisfied,occasionally,occasionally,,,8,agree,agree,fully disagree,40,0,,600,30,30,1,1,1,1,1,0,0,0,1,1
2011,9,occasionally,practically never,fairly agree,good,9,,,,,,,,31,31,1,1,1,1,0,0,0,0,1,1
2011,9,practically never,practically never,agree entirely,very good,10 completely satisfied,neither agree nor disagree,disagree,agree,,,,,31,31,1,1,1,1,1,0,0,0,1,1
2012,entirely satisfied,practically never,practically never,,very good,10 completely satisfied,disagree,neither agree nor disagree,agree,,,,,32,32,1,1,1,1,0,0,0,0,1,1
2012,entirely satisfied,occasionally,practically never,,good,9,agree,agree,agree,,,,,32,32,1,1,1,1,1,0,0,0,1,1
2013,entirely satisfied,occasionally,practically never,fairly agree,good,10 completely satisfied,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,,,,,33,33,1,1,1,1,0,0,0,0,1,1
2013,entirely satisfied,occasionally,practically never,agree entirely,good,10 completely satisfied,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,,,,,33,33,1,1,1,1,1,0,0,0,1,1
2016,entirely satisfied,occasionally,practically never,,good,,,,,,,,,37,37,1,1,1,1,0,0,0,0,1,1
2015,entirely satisfied,practically never,occasionally,,good,I don’t know,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,0,0,,,60,47,2,2,4,4,1,0,1,1,1,1
2012,9,often,occasionally,,very good,10 completely satisfied,disagree,neither agree nor disagree,disagree,12,0,,,26,25,3,3,1,1,0,1,0,0,0,0
2012,9,practically never,practically never,,good,7,agree,fully agree,neither agree nor disagree,64,0,,0,26,25,3,3,1,1,1,1,0,0,0,0
2013,entirely satisfied,occasionally,occasionally,slightly agree,good,10 completely satisfied,disagree,agree,disagree,,,,,27,26,3,3,1,1,0,1,0,0,0,0
2013,entirely satisfied,practically never,practically never,fairly agree,very good,7,disagree,fully agree,disagree,,,,,27,26,3,3,1,1,1,1,0,0,0,0
2014,entirely satisfied,occasionally,occasionally,,very good,9,neither agree nor disagree,disagree,agree,,,,,28,27,3,3,1,1,0,1,0,0,0,0
2014,9,practically never,practically never,,good,7,,,,,,,,28,27,3,3,1,1,1,1,0,0,0,0
2015,entirely satisfied,occasionally,occasionally,,very good,9,disagree,agree,disagree,28,,,,29,29,3,3,1,1,0,1,0,0,1,1
2015,9,practically never,practically never,,good,7,,,,56,0,10,,29,29,3,3,1,1,1,1,0,0,1,1
2016,entirely satisfied,occasionally,occasionally,,very good,9,disagree,neither agree nor disagree,disagree,,,,,30,30,3,3,1,1,0,1,0,0,1,1
2016,8,practically never,occasionally,,good,8,,,,,,,,30,30,3,3,1,1,1,1,0,0,1,1
2008,9,occasionally,occasionally,,,9,disagree,disagree,disagree,,,,,32,30,3,2,1,1,0,1,0,0,1,0
2008,8,occasionally,occasionally,,,8,fully disagree,agree,disagree,,,,,32,30,3,2,1,1,1,1,0,0,1,0
2009,9,practically never,practically never,fairly agree,,8,disagree,neither agree nor disagree,disagree,7,,,,33,31,3,2,1,1,0,1,0,0,1,0
2009,8,occasionally,occasionally,slightly agree,,8,disagree,neither agree nor disagree,disagree,10,,,110,33,31,3,2,1,1,1,1,0,0,1,0
2010,7,occasionally,practically never,,,8,neither agree nor disagree,neither agree nor disagree,disagree,21,0,,,34,32,3,2,1,1,0,1,0,0,1,0
2010,8,occasionally,occasionally,,,8,neither agree nor disagree,disagree,disagree,10,0,,140,34,32,3,2,1,1,1,1,0,0,1,0
2011,8,practically never,practically never,slightly agree,good,8,disagree,agree,disagree,,,,,35,33,3,2,1,1,0,1,0,0,1,0
2011,8,occasionally,occasionally,slightly disagree,good,8,disagree,disagree,disagree,,,,,35,33,3,2,1,1,1,1,0,0,1,0
2012,8,practically never,practically never,,good,7,,,,,,,,36,34,3,2,1,1,0,1,0,0,1,0
2012,8,occasionally,occasionally,,good,8,disagree,disagree,disagree,,,,,36,34,3,2,1,1,1,1,0,0,1,0
2009,entirely satisfied,not applicable,not applicable,agree entirely,,8,disagree,agree,disagree,14,,,40,45,45,3,1,4,4,1,0,1,0,1,0
2010,entirely satisfied,not applicable,not applicable,,,8,neither agree nor disagree,agree,neither agree nor disagree,0,0,,60,46,46,3,1,4,4,1,0,1,0,1,0
2010,8,practically never,practically never,,,8,agree,agree,fully agree,26,0,,85,36,33,2,3,2,1,1,1,0,0,1,0
2010,6,practically never,occasionally,,,4,disagree,agree,agree,22,0,,,36,33,2,3,2,1,0,1,0,0,1,0
